date,store_id,product_id,sales,promo,holiday,weekend,stockout,unit_price,revenue
2024-01-01,S1,P1,23,1,1,0,1,8.99,206.77
2024-01-01,S1,P2,42,0,1,0,0,12.50,525.00
2024-01-01,S1,P3,33,0,1,0,0,7.75,255.75
2024-01-01,S2,P1,55,0,1,0,0,9.99,549.45
2024-01-01,S2,P2,44,0,1,0,0,12.50,550.00
2024-01-01,S2,P3,34,0,1,0,0,7.75,263.50
2024-01-02,S1,P1,44,1,0,0,0,8.99,395.56
2024-01-02,S1,P2,36,0,0,0,0,12.50,450.00
2024-01-02,S1,P3,31,0,0,0,0,7.75,240.25
2024-01-02,S2,P1,42,0,0,0,0,9.99,419.58
2024-01-02,S2,P2,36,0,0,0,0,12.50,450.00
2024-01-02,S2,P3,27,0,0,0,0,7.75,209.25
2024-01-03,S1,P1,45,1,0,0,0,8.99,404.55
2024-01-03,S1,P2,36,0,0,0,0,12.50,450.00
2024-01-03,S1,P3,26,0,0,0,0,7.75,201.50
2024-01-03,S2,P1,45,0,0,0,0,9.99,449.55
2024-01-03,S2,P2,39,0,0,0,0,12.50,487.50
2024-01-03,S2,P3,27,0,0,0,0,7.75,209.25
2024-01-04,S1,P1,36,0,0,0,0,9.99,359.64
2024-01-04,S1,P2,30,0,0,0,0,12.50,375.00
2024-01-04,S1,P3,27,0,0,0,0,7.75,209.25
2024-01-04,S2,P1,44,0,0,0,0,9.99,439.56
2024-01-04,S2,P2,38,0,0,0,0,12.50,475.00
2024-01-04,S2,P3,28,0,0,0,0,7.75,217.00
2024-01-05,S1,P1,37,0,0,0,0,9.99,369.63
2024-01-05,S1,P2,41,0,0,0,0,12.50,512.50
2024-01-05,S1,P3,33,0,0,0,0,7.75,255.75
2024-01-05,S2,P1,55,1,0,0,0,8.99,494.45
2024-01-05,S2,P2,40,0,0,0,0,12.50,500.00
2024-01-05,S2,P3,32,0,0,0,0,7.75,248.00
2024-01-06,S1,P1,44,0,0,1,0,9.99,439.56
2024-01-06,S1,P2,39,0,0,1,0,12.50,487.50
